,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
1156,GRILL ISTANBUL (MELISA),2 VOIE DU MORT RU,91310,LONGPONT SUR ORGE,16037683,2021-06-11T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.652357,2.275482
1165,LA REINE DE BLE,7 RUE CHARLES DE GAULLE,91530,SAINT CHERON,16155306,2021-09-08T02:00:00+02:00,Boulangerie-Pâtisserie,A améliorer,,Boulangerie-Pâtisserie,48.553715,2.124575
1168,SOUNESS,3 RUE FRETAY,91140,VILLEJUST,16019460,2021-05-28T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.682953,2.23629
1226,LES 1001 KEBAB,134 RUE DE PARIS,91120,Palaiseau,22-000821-1,2022-01-07T01:00:00+01:00,Restaurant,A améliorer,,Restaurant,48.713542,2.24438
1411,CDE,88 AVENUE CHARLES DE GAULLE,91230,Montgeron,21-051876-1,2021-06-21T02:00:00+02:00,Restauration collective,Très satisfaisant,91421001.0,Restauration collective,48.695683,2.453879
1592,SAFAR SAID,1 R JEANNE D ARC,91300,Massy,21-074721-1,2021-09-17T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.732938,2.265128
1739,COLLEGE MONDETOUR,4 RUE DES LORRAINS,91940,Les Ulis,22-006344-1,2022-01-27T01:00:00+01:00,Restauration collective,Très satisfaisant,,Restauration collective,48.68447,2.179795
1868,McDonald's Vigneux sur seine,PLACE ARBRE DE LA LIBERTE,91270,Vigneux-sur-Seine,21-029553-1,2021-04-13T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.69629,2.416954
1920,QUADRATURE RESTAURATION,9 RUE GODEAUME,91640,Fontenay-lès-Briis,21-090954-1,2021-11-08T01:00:00+01:00,Restauration collective,Très satisfaisant,91243001.0,Restauration collective,48.613053,2.174552
2151,CARREFOUR,rue de l'Aubrac,91940,Les Ulis,21-058435-1,2021-07-09T02:00:00+02:00,Libre service,Satisfaisant,,Libre service,48.677394,2.173088
2290,IKEA,2 RUE DU CLOS AUX POIS,91090,Lisses,22-001854-1,2022-01-12T01:00:00+01:00,Restaurant,Très satisfaisant,,Restaurant,48.598027,2.438058
2314,METRO FRANCE,La pièce de la remise,91090,Lisses,21-046599-1,2021-06-14T02:00:00+02:00,Découpe de viande de boucherie,Très satisfaisant,91340005.0,,48.609801,2.436817
2559,EHPAD DEGOMMIER,"12, rue Degommier",91590,Cerny,21-030585-1,2021-04-19T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.477869,2.331713
2617,ECOLE PRIMAIRE PUBLIQUE LE CLOS,RUE DU LAC,91250,Tigery,21-080640-1,2021-10-05T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.644085,2.507075
2658,ECOLE MATERNELLE PUBLIQUE PABLO NERUDA,CHEMIN PABLO NERUDA,91940,Gometz-le-Châtel,22-002445-1,2022-01-17T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.680499,2.143161
2729,MINI CRECHE KORCZAK,48 AVENUE ALBERT SARRAUT,91260,Juvisy-sur-Orge,21-046485-1,2021-06-08T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,48.69478,2.3574
2785,NATURALIA,49 AV DE LA COMMUNE DE PARIS,91220,Brétigny-sur-Orge,22-001572-1,2022-01-12T01:00:00+01:00,Rayon fromagerie|Rayon traiteur|Rayon boucherie-charcuterie,Très satisfaisant,,Rayon fromagerie|Rayon traiteur|Rayon boucherie-charcuterie,48.586531,2.301694
2975,FRESH BEEF,1 PL DE CHEVREUSE,91090,Lisses,22-002750-1,2022-01-18T01:00:00+01:00,Restaurant,Satisfaisant,,Restaurant,48.612118,2.418573
3159,S.A.S. ANDIS,14 RUE DU PONT LA FLEUR,91670,Angerville,21-063583-1,2021-08-10T02:00:00+02:00,Rayon poissonnerie,Très satisfaisant,,Rayon poissonnerie,48.318698,2.000882
3162,PREST-DISTRIBUTION,11-13 BOULEVARD DE L EUROPE,91320,Wissous,21-083692-1,2021-10-14T02:00:00+02:00,Transport de denrées alimentaires,Très satisfaisant,,,48.730956,2.33419
3165,S.A.S. ANDIS,14 RUE DU PONT LA FLEUR,91670,Angerville,21-063647-1,2021-08-10T02:00:00+02:00,Libre service,Très satisfaisant,,Libre service,48.318698,2.000882
