,APP_Libelle_etablissement,SIRET,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,geores,filtre,ods_type_activite,lat,lon
11252,BRIES DE SAINT REMY,85327313400025,MONTMOGIS,77320,Saint-Rémy-la-Vanne,21-039528-1,2021-07-29T02:00:00+02:00,Collecte de lait,Satisfaisant,77432004,"48.817029,3.244514",,Lait et produits laitiers,48.817029,3.244514
11469,FROMAGERIE LOISEAU,40217376900017,39 RUE CLOZEAU,77760,Achères-la-Forêt,21-039530-1,2021-07-08T02:00:00+02:00,Caves d'affinage,Satisfaisant,77001001,"48.345432,2.564661",,Lait et produits laitiers,48.345432,2.564661
11488,FROMAGERIE LOISEAU,40217376900017,39 RUE CLOZEAU,77760,Achères-la-Forêt,21-065846-2,2021-07-08T02:00:00+02:00,Entreposage de produits laitiers,Satisfaisant,77001001,"48.345432,2.564661",,Transport et entreposage de denrées alimentaires,48.345432,2.564661
11598,LA FROMENTELLERIE,80887940700019,FERME DE BEAULIEU,77970,Pécy,21-029497-1,2021-07-13T02:00:00+02:00,Transformation de lait ou produits laitiers,Très satisfaisant,77357001,"48.651577,3.068686",,Lait et produits laitiers,48.651577,3.068686
11917,O BON GOUT DE BUSSY,89797936500011,20 RUE JEAN MONNET,77600,Bussy-Saint-Georges,21-074192-1,2021-09-13T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.839343,2.71138",Boucherie-Charcuterie,Autres,48.839343,2.71138
12010,LA DERIVE & FRERES POISSONS,87891567700016,17 QUAI DE LA REPUBLIQUE,77920,Samois-sur-Seine,21-074327-1,2021-09-17T02:00:00+02:00,Restaurant,A améliorer,,"48.450873,2.757968",Restaurant,Autres,48.450873,2.757968
12072,ESAT LES ATELIERS DE L AMBRESIS,77572284600265,12 RUE DE L INDUSTRIE,77270,Villeparisis,21-063103-1,2021-08-11T02:00:00+02:00,Restauration collective,Très satisfaisant,,"48.951588,2.624377",Restauration collective,Autres,48.951588,2.624377
12362,FONDATION ELLEN POIDATZ,78500313800019,1 RUE ELLEN POIDATZ,77310,Saint-Fargeau-Ponthierry,21-031066-1,2021-04-20T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.528912,2.546521",Restauration collective,Autres,48.528912,2.546521
12514,LES TROIS SOLEILS,78490041700014,19 RUE DU CHATEAU,77310,Boissise-le-Roi,21-031348-1,2021-04-19T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.525745,2.572155",Restauration collective,Autres,48.525745,2.572155
12526,DASSONVILLE,43884502600022,20 LES MONGUETS,77320,La Chapelle-Moutils,21-013501-1,2021-02-16T01:00:00+01:00,Transport de denrées alimentaires,Très satisfaisant,,"48.788833,3.39994",,Transport et entreposage de denrées alimentaires,48.788833,3.39994
13167,BOUCHERIE MDS RECEPTIONS,85031761100018,5 RUE DE LA CHENOISE,77160,Chenoise-Cucharmoy,21-059744-1,2021-07-27T02:00:00+02:00,Traiteur,A améliorer,,"48.614851,3.183296",Traiteur,Autres,48.614851,3.183296
13182,BOUCHERIE MDS RECEPTIONS,85031761100018,5 RUE DE LA CHENOISE,77160,Chenoise-Cucharmoy,21-059744-2,2021-07-27T02:00:00+02:00,Boucherie-Charcuterie,A améliorer,,"48.614851,3.183296",Boucherie-Charcuterie,Autres,48.614851,3.183296
13402,COMPAGNIE FROMAGERE EDMOND DE ROTHSCHILD,38264502600016,Domaine des 30 Arpents,77220,Favières,21-039532-1,2021-06-10T02:00:00+02:00,Transformation de lait ou produits laitiers,Satisfaisant,77177001,"48.780324,2.789388",,Lait et produits laitiers,48.780324,2.789388
14118,ASS JEANNE D ARC DE MELUN,78497045100018,30 RUE BANCEL,77000,Melun,21-034656-1,2021-05-03T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.542051,2.662494",Restauration collective,Autres,48.542051,2.662494
14204,API RESTAURATION,47718101001107,3 RUE BONNERET,77230,Moussy-le-Neuf,21-028514-1,2021-07-09T02:00:00+02:00,Restauration collective,Satisfaisant,77322003,"49.063942,2.594849",Restauration collective,Autres,49.063942,2.594849
14279,EHPAD DU CENTRE,26770008600049,chemin des grattons,77160,Provins,20-096274-1,2021-05-20T02:00:00+02:00,Restauration collective,Satisfaisant,,"48.54636,3.301171",Restauration collective,Autres,48.54636,3.301171
14352,CONVIVIO,78824308700020,12 RUE LOUIS ARMAND,77330,Ozoir-la-Ferrière,21-078076-1,2021-09-29T02:00:00+02:00,Restauration collective,Satisfaisant,77350001,"48.765112,2.688909",Restauration collective,Autres,48.765112,2.688909
14707,LYCEE GENERAL TECHNOLOGIQUE PROFESSIONNEL AGRICOLE,19771357100010,LA BRETONNIERE,77120,Chailly-en-Brie,21-010077-1,2021-01-29T01:00:00+01:00,Restauration collective,Satisfaisant,,"48.813802,3.152442",Restauration collective,Autres,48.813802,3.152442
14765,WILLIAM SAURIN PRODUCTION,83017529500021,81 AVENUE DU GENERAL LECLERC,77400,Lagny-sur-Marne,20-088738-1,2020-12-14T01:00:00+01:00,Transformation de produits carnés,Très satisfaisant,77438001,"48.873454,2.688361",,Viandes et produits carnés,48.873454,2.688361
14852,EXO DISCOUNT,83337162800029,58 RUE LEO LAGRANGE,77130,Montereau-Fault-Yonne,21-002947-1,2021-01-12T01:00:00+01:00,Libre service|Alimentation générale,Satisfaisant,,"48.379626,2.946707",Libre service|Alimentation générale,Autres,48.379626,2.946707
14999,SAVS DE VILLEBOUVET,40339122000064,39 RUE DU LAITON,77176,Savigny-le-Temple,21-034646-1,2021-05-03T02:00:00+02:00,Responsable de restauration collective,Satisfaisant,,"48.592819,2.588832",,Autres,48.592819,2.588832
15113,BOUCHERIE DU CENTRE,89216700800010,8 RUE DE PARIS,77420,Champs-sur-Marne,21-031370-1,2021-04-21T02:00:00+02:00,Boucherie-Charcuterie,Satisfaisant,,"48.852292,2.601825",Boucherie-Charcuterie,Autres,48.852292,2.601825
