,APP_Libelle_etablissement,Adresse_2_UA,Code_postal,Libelle_commune,Numero_inspection,Date_inspection,APP_Libelle_activite_etablissement,Synthese_eval_sanit,Agrement,filtre,lat,lon
32026,MONOPRIX,"25, avenue des Ternes",75017,Paris 17e  Arrondissement,21-095710-1,2021-11-18T01:00:00+01:00,Rayon traiteur,Très satisfaisant,,Rayon traiteur,48.878234,2.29524
32027,LA RENAISSANCE,209 BOULEVARD DAVOUT,75020,Paris 20e  Arrondissement,21-064988-1,2021-07-30T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.862903,2.408658
32030,LOCOMO,6 RUE DE LYON,75012,Paris 12e  Arrondissement,21-056153-1,2021-07-12T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.846961,2.372109
32033,BAT PETITE ENFANCE,9 RUE PHILIPPE DE GIRARD,75010,Paris 10e  Arrondissement,21-039172-1,2021-05-20T02:00:00+02:00,Restauration collective,Très satisfaisant,,Restauration collective,48.881868,2.361125
32035,LI HONG HUI,54 RUE DU FAUBOURG MONTMARTRE,75009,Paris 9e  Arrondissement,21-081380-1,2021-10-07T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.875403,2.340842
32042,GIRO,1 RUE GUILLAUME TELL,75017,Paris 17e  Arrondissement,21-037632-1,2021-05-12T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.883808,2.292967
32044,L'IMPREVU,151 RUE DE BELLEVILLE,75019,Paris 19e  Arrondissement,21-043667-1,2021-05-26T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.875518,2.390466
32059,LE BISTROT D'ARSENE,"10, RUE ARSENE HOUSSAYE",75008,Paris 8e  Arrondissement,21-055344-1,2021-07-08T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.874641,2.299825
32061,MONOPRIX,"25, avenue des Ternes",75017,Paris 17e  Arrondissement,21-095680-1,2021-11-18T01:00:00+01:00,Rayon fromagerie,Très satisfaisant,,Rayon fromagerie,48.878234,2.29524
32066,COS EHPAD ALICE GUY,10 RUE DE COLMAR,75019,Paris 19e  Arrondissement,21-027966-1,2021-04-07T02:00:00+02:00,Restauration collective,Satisfaisant,,Restauration collective,48.888408,2.381072
32071,DUO DES CHAMPS,42 AVENUE FELIX FAURE,75015,Paris 15e  Arrondissement,21-037726-1,2021-05-07T02:00:00+02:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.841339,2.288204
32072,SLAVMARKET,19 RUE CHANZY,75011,Paris 11e  Arrondissement,21-043496-1,2021-05-20T02:00:00+02:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.852652,2.384118
32082,ECOLE JEANNINE MANUEL,15 RUE EDGAR FAURE,75015,Paris 15e  Arrondissement,21-003492-1,2021-01-14T01:00:00+01:00,Restauration collective,Satisfaisant,,Restauration collective,48.85275,2.294968
32086,LES CAFES SAN JOSE,30 RUE DES PETITS CHAMPS,75002,Paris 2e  Arrondissement,21-030647-1,2021-04-16T02:00:00+02:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.867004,2.336015
32087,CHAMPS VERTS,42 RUE DOMBASLE,75015,Paris 15e  Arrondissement,21-094169-1,2021-11-19T01:00:00+01:00,Libre service|Alimentation générale,Très satisfaisant,,Libre service|Alimentation générale,48.835557,2.299882
32088,RESTAURANT RAPIDE BLACK AND WHITE CHÂTELET,31 RUE SAINT DENIS,75001,Paris 1er Arrondissement,21-026474-1,2021-03-30T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.859886,2.348068
32089,LA ROTONDE,105 BOULEVARD DU MONTPARNASSE,75006,Paris 6e  Arrondissement,21-054997-1,2021-07-07T02:00:00+02:00,Restaurant,Très satisfaisant,,Restaurant,48.842188,2.329356
32096,NOODLE PANDA,19 AV MAC MAHON,75017,Paris 17e  Arrondissement,21-025991-1,2021-03-29T02:00:00+02:00,Restaurant,Satisfaisant,,Restaurant,48.876774,2.294267
